Label (Grouping),ZCTA5 64014!!Estimate,ZCTA5 64014!!Percent,ZCTA5 64015!!Estimate,ZCTA5 64015!!Percent,ZCTA5 64016!!Estimate,ZCTA5 64016!!Percent,ZCTA5 64029!!Estimate,ZCTA5 64029!!Percent,ZCTA5 64030!!Estimate,ZCTA5 64030!!Percent,ZCTA5 64034!!Estimate,ZCTA5 64034!!Percent,ZCTA5 64050!!Estimate,ZCTA5 64050!!Percent,ZCTA5 64052!!Estimate,ZCTA5 64052!!Percent,ZCTA5 64053!!Estimate,ZCTA5 64053!!Percent,ZCTA5 64054!!Estimate,ZCTA5 64054!!Percent,ZCTA5 64055!!Estimate,ZCTA5 64055!!Percent,ZCTA5 64056!!Estimate,ZCTA5 64056!!Percent,ZCTA5 64057!!Estimate,ZCTA5 64057!!Percent,ZCTA5 64058!!Estimate,ZCTA5 64058!!Percent,ZCTA5 64063!!Estimate,ZCTA5 64063!!Percent,ZCTA5 64064!!Estimate,ZCTA5 64064!!Percent,ZCTA5 64070!!Estimate,ZCTA5 64070!!Percent,ZCTA5 64075!!Estimate,ZCTA5 64075!!Percent,ZCTA5 64081!!Estimate,ZCTA5 64081!!Percent,ZCTA5 64082!!Estimate,ZCTA5 64082!!Percent,ZCTA5 64086!!Estimate,ZCTA5 64086!!Percent,ZCTA5 64088!!Estimate,ZCTA5 64088!!Percent,ZCTA5 64101!!Estimate,ZCTA5 64101!!Percent,ZCTA5 64102!!Estimate,ZCTA5 64102!!Percent,ZCTA5 64105!!Estimate,ZCTA5 64105!!Percent,ZCTA5 64106!!Estimate,ZCTA5 64106!!Percent,ZCTA5 64108!!Estimate,ZCTA5 64108!!Percent,ZCTA5 64109!!Estimate,ZCTA5 64109!!Percent,ZCTA5 64110!!Estimate,ZCTA5 64110!!Percent,ZCTA5 64111!!Estimate,ZCTA5 64111!!Percent,ZCTA5 64112!!Estimate,ZCTA5 64112!!Percent,ZCTA5 64113!!Estimate,ZCTA5 64113!!Percent,ZCTA5 64114!!Estimate,ZCTA5 64114!!Percent,ZCTA5 64120!!Estimate,ZCTA5 64120!!Percent,ZCTA5 64123!!Estimate,ZCTA5 64123!!Percent,ZCTA5 64124!!Estimate,ZCTA5 64124!!Percent,ZCTA5 64125!!Estimate,ZCTA5 64125!!Percent,ZCTA5 64126!!Estimate,ZCTA5 64126!!Percent,ZCTA5 64127!!Estimate,ZCTA5 64127!!Percent,ZCTA5 64128!!Estimate,ZCTA5 64128!!Percent,ZCTA5 64129!!Estimate,ZCTA5 64129!!Percent,ZCTA5 64130!!Estimate,ZCTA5 64130!!Percent,ZCTA5 64131!!Estimate,ZCTA5 64131!!Percent,ZCTA5 64132!!Estimate,ZCTA5 64132!!Percent,ZCTA5 64133!!Estimate,ZCTA5 64133!!Percent,ZCTA5 64134!!Estimate,ZCTA5 64134!!Percent,ZCTA5 64136!!Estimate,ZCTA5 64136!!Percent,ZCTA5 64137!!Estimate,ZCTA5 64137!!Percent,ZCTA5 64138!!Estimate,ZCTA5 64138!!Percent,ZCTA5 64139!!Estimate,ZCTA5 64139!!Percent,ZCTA5 64145!!Estimate,ZCTA5 64145!!Percent,ZCTA5 64146!!Estimate,ZCTA5 64146!!Percent,ZCTA5 64147!!Estimate,ZCTA5 64147!!Percent
        Scotch-Irish,179,0.60%,347,1.10%,9,0.20%,191,0.90%,281,1.10%,65,0.70%,495,2.30%,275,1.20%,37,0.60%,22,0.70%,311,0.90%,145,0.80%,152,1.10%,104,1.60%,148,0.70%,537,2.70%,99,3.30%,138,1.20%,369,1.50%,140,0.70%,267,1.10%,15,1.10%,0,0.00%,0,-,62,1.10%,47,0.40%,37,0.40%,40,0.40%,136,0.80%,399,2.30%,193,2.20%,183,1.50%,360,1.40%,0,0.00%,138,1.30%,54,0.50%,24,1.00%,15,0.30%,5,0.00%,0,0.00%,19,0.20%,0,0.00%,174,0.80%,0,0.00%,274,0.70%,147,0.60%,18,1.10%,87,0.90%,126,0.50%,20,0.90%,30,0.60%,12,1.00%,0,0.00%
        Scottish,455,1.60%,841,2.60%,49,1.10%,411,1.90%,317,1.20%,108,1.20%,340,1.60%,576,2.60%,24,0.40%,76,2.50%,972,2.70%,458,2.50%,506,3.50%,144,2.20%,611,2.90%,625,3.20%,12,0.40%,205,1.70%,526,2.10%,256,1.30%,342,1.40%,12,0.90%,0,0.00%,0,-,191,3.40%,96,0.90%,126,1.30%,220,2.20%,296,1.70%,465,2.70%,220,2.60%,486,3.90%,448,1.80%,0,0.00%,43,0.40%,67,0.60%,26,1.10%,17,0.30%,51,0.30%,42,0.30%,101,1.20%,26,0.10%,244,1.10%,56,0.50%,401,1.10%,130,0.60%,0,0.00%,116,1.10%,284,1.20%,39,1.70%,89,1.70%,0,0.00%,0,0.00%
        Slovak,18,0.10%,0,0.00%,3,0.10%,41,0.20%,0,0.00%,0,0.00%,120,0.60%,13,0.10%,0,0.00%,23,0.70%,93,0.30%,10,0.10%,9,0.10%,0,0.00%,16,0.10%,7,0.00%,0,0.00%,7,0.10%,0,0.00%,33,0.20%,24,0.10%,0,0.00%,0,0.00%,0,-,0,0.00%,0,0.00%,0,0.00%,14,0.10%,4,0.00%,14,0.10%,23,0.30%,7,0.10%,31,0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.00%,0,0.00%,0,0.00%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,26,0.10%,10,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
        Subsaharan African,46,0.20%,124,0.40%,0,0.00%,29,0.10%,149,0.60%,68,0.80%,20,0.10%,148,0.70%,0,0.00%,0,0.00%,202,0.60%,36,0.20%,25,0.20%,10,0.10%,186,0.90%,164,0.80%,0,0.00%,31,0.30%,306,1.20%,209,1.10%,97,0.40%,0,0.00%,0,0.00%,0,-,57,1.00%,387,3.60%,55,0.60%,63,0.60%,173,1.00%,247,1.40%,4,0.00%,25,0.20%,355,1.40%,0,0.00%,503,4.80%,321,2.90%,0,0.00%,82,1.50%,164,0.90%,252,2.00%,206,2.50%,219,1.10%,456,2.00%,127,1.00%,711,1.90%,282,1.20%,0,0.00%,105,1.00%,814,3.40%,32,1.40%,54,1.10%,0,0.00%,0,0.00%
        Swedish,222,0.80%,671,2.10%,5,0.10%,193,0.90%,202,0.80%,206,2.40%,177,0.80%,271,1.20%,25,0.40%,15,0.50%,375,1.00%,243,1.30%,142,1.00%,14,0.20%,464,2.20%,134,0.70%,39,1.30%,87,0.70%,531,2.10%,160,0.80%,145,0.60%,27,2.00%,0,0.00%,0,-,133,2.40%,166,1.50%,73,0.70%,117,1.20%,188,1.10%,288,1.70%,204,2.40%,155,1.20%,504,2.00%,0,0.00%,83,0.80%,15,0.10%,0,0.00%,0,0.00%,0,0.00%,8,0.10%,5,0.10%,16,0.10%,235,1.10%,25,0.20%,281,0.80%,143,0.60%,0,0.00%,242,2.40%,210,0.90%,0,0.00%,71,1.40%,4,0.30%,0,0.00%
        Swiss,84,0.30%,64,0.20%,0,0.00%,12,0.10%,82,0.30%,14,0.20%,84,0.40%,20,0.10%,9,0.10%,30,1.00%,173,0.50%,10,0.10%,38,0.30%,7,0.10%,51,0.20%,34,0.20%,0,0.00%,32,0.30%,74,0.30%,64,0.30%,47,0.20%,1,0.10%,0,0.00%,0,-,71,1.30%,17,0.20%,15,0.20%,6,0.10%,63,0.40%,64,0.40%,37,0.40%,81,0.70%,163,0.70%,0,0.00%,10,0.10%,11,0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,15,0.20%,0,0.00%,17,0.10%,15,0.10%,64,0.20%,17,0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,23,0.40%,2,0.20%,0,0.00%
        Ukrainian,24,0.10%,66,0.20%,0,0.00%,4,0.00%,14,0.10%,3,0.00%,7,0.00%,0,0.00%,0,0.00%,0,0.00%,17,0.00%,0,0.00%,0,0.00%,0,0.00%,10,0.00%,94,0.50%,0,0.00%,11,0.10%,40,0.20%,0,0.00%,26,0.10%,0,0.00%,0,0.00%,0,-,6,0.10%,26,0.20%,37,0.40%,84,0.80%,13,0.10%,10,0.10%,28,0.30%,0,0.00%,14,0.10%,0,0.00%,0,0.00%,7,0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,0.10%,231,0.60%,11,0.00%,0,0.00%,9,0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
        Welsh,214,0.80%,290,0.90%,17,0.40%,153,0.70%,148,0.60%,61,0.70%,281,1.30%,239,1.10%,0,0.00%,25,0.80%,263,0.70%,70,0.40%,55,0.40%,53,0.80%,199,0.90%,508,2.60%,26,0.90%,131,1.10%,165,0.70%,110,0.60%,138,0.60%,3,0.20%,0,0.00%,0,-,33,0.60%,69,0.60%,81,0.80%,36,0.40%,160,0.90%,264,1.50%,60,0.70%,80,0.60%,173,0.70%,27,4.70%,21,0.20%,82,0.70%,0,0.00%,0,0.00%,21,0.10%,0,0.00%,16,0.20%,12,0.10%,141,0.60%,0,0.00%,122,0.30%,72,0.30%,0,0.00%,195,1.90%,78,0.30%,0,0.00%,57,1.10%,0,0.00%,0,0.00%
        West Indian (excluding Hispanic origin groups),37,0.10%,4,0.00%,0,0.00%,0,0.00%,50,0.20%,0,0.00%,41,0.20%,14,0.10%,0,0.00%,0,0.00%,39,0.10%,90,0.50%,15,0.10%,25,0.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,0.00%,0,0.00%,20,0.10%,0,0.00%,0,0.00%,0,-,0,0.00%,27,0.20%,34,0.30%,78,0.80%,161,0.90%,9,0.10%,0,0.00%,0,0.00%,76,0.30%,0,0.00%,35,0.30%,108,1.00%,0,0.00%,0,0.00%,35,0.20%,88,0.70%,0,0.00%,56,0.30%,80,0.40%,129,1.10%,197,0.50%,114,0.50%,0,0.00%,204,2.00%,245,1.00%,29,1.20%,0,0.00%,0,0.00%,0,0.00%
COMPUTERS AND INTERNET USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total households,"10,588","10,588","12,363","12,363","1,738","1,738","7,550","7,550","11,113","11,113","3,139","3,139","9,494","9,494","9,476","9,476","2,492","2,492","1,254","1,254","15,790","15,790","6,158","6,158","6,198","6,198","2,389","2,389","8,685","8,685","7,448","7,448","1,151","1,151","4,274","4,274","9,958","9,958","6,415","6,415","9,155","9,155",458,458,65,65,0,0,"4,052","4,052","5,340","5,340","5,069","5,069","4,696","4,696","7,620","7,620","10,661","10,661","4,921","4,921","4,753","4,753","12,779","12,779",297,297,"3,890","3,890","3,800","3,800",638,638,"2,056","2,056","7,279","7,279","5,241","5,241","3,457","3,457","8,574","8,574","9,697","9,697","4,828","4,828","15,369","15,369","8,878","8,878",707,707,"4,431","4,431","10,290","10,290",730,730,"2,038","2,038",730,730,165,165
        With a computer,"10,174",96.10%,"11,874",96.00%,"1,659",95.50%,"7,281",96.40%,"10,658",95.90%,"3,121",99.40%,"8,503",89.60%,"8,835",93.20%,"2,355",94.50%,"1,178",93.90%,"14,995",95.00%,"5,797",94.10%,"5,747",92.70%,"2,295",96.10%,"8,380",96.50%,"7,295",97.90%,"1,095",95.10%,"4,128",96.60%,"9,624",96.60%,"6,321",98.50%,"9,042",98.80%,446,97.40%,65,100.00%,0,-,"3,985",98.30%,"4,824",90.30%,"4,806",94.80%,"4,258",90.70%,"7,045",92.50%,"10,293",96.50%,"4,820",97.90%,"4,694",98.80%,"12,199",95.50%,290,97.60%,"3,760",96.70%,"3,529",92.90%,606,95.00%,"1,929",93.80%,"6,325",86.90%,"4,483",85.50%,"3,318",96.00%,"7,167",83.60%,"9,246",95.30%,"4,136",85.70%,"14,578",94.90%,"8,448",95.20%,573,81.00%,"4,227",95.40%,"9,650",93.80%,730,100.00%,"1,943",95.30%,699,95.80%,165,100.00%
        With a broadband Internet subscription,"10,060",95.00%,"11,089",89.70%,"1,602",92.20%,"7,171",95.00%,"10,197",91.80%,"3,107",99.00%,"7,641",80.50%,"8,297",87.60%,"2,032",81.50%,"1,077",85.90%,"14,074",89.10%,"5,608",91.10%,"5,361",86.50%,"2,168",90.70%,"8,108",93.40%,"7,138",95.80%,"1,052",91.40%,"3,747",87.70%,"9,117",91.60%,"6,224",97.00%,"8,661",94.60%,404,88.20%,65,100.00%,0,-,"3,572",88.20%,"4,059",76.00%,"4,356",85.90%,"3,754",79.90%,"6,643",87.20%,"9,107",85.40%,"4,393",89.30%,"4,567",96.10%,"11,517",90.10%,277,93.30%,"3,442",88.50%,"3,091",81.30%,553,86.70%,"1,778",86.50%,"5,753",79.00%,"3,928",74.90%,"2,899",83.90%,"6,619",77.20%,"8,626",89.00%,"3,798",78.70%,"13,183",85.80%,"8,017",90.30%,583,82.50%,"4,107",92.70%,"8,656",84.10%,686,94.00%,"1,888",92.60%,699,95.80%,156,94.50%
